数据年份,企业名称,营业总收入,资产总额,负债总额,纳税总额,主营业务收入,所有者权益,利润总额,净利润,平均净资产,平均资产总额,社保人数
2018,绍兴银行股份有限公司,468000,10748400,10076800,37500,466600,671500,54000,42100,646500,10536200,1000
2017,绍兴银行股份有限公司,421500,10324000,9702500,0,420100,621500,53900,42000,603800,10304700,1000
2019,齐齐哈尔农村商业银行股份有限公司,69100,1652300,1417100,6900,59800,235200,20200,15300,226900,1505800,--
2018,齐齐哈尔农村商业银行股份有限公司,62600,1359200,1140500,4600,54900,218700,15400,11300,161100,1341100,1100
2017,齐齐哈尔农村商业银行股份有限公司,65100,1323000,1219500,4400,65000,103500,12700,8200,104800,1286000,1100
2019,浙江腾舟机器人科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,浙江腾舟机器人科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,浙江腾舟机器人科技有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,张家口银行股份有限公司,1246700,21997700,20498000,91100,1243400,1499600,218900,193800,1414700,20382400,3900
2018,张家口银行股份有限公司,541700,18767200,17437400,124200,695300,1329700,215600,189700,8926100,18244100,1600
2017,张家口银行股份有限公司,561900,17721100,1198500,89200,631300,16522600,252900,200500,8761200,17046900,1500
2019,汕头市欧香食品有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,汕头市欧香食品有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,汕头市欧香食品有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,常州江盛石油化工储运有限公司,--,--,--,--,--,--,--,--,--,--,--
2018,常州江盛石油化工储运有限公司,--,--,--,--,--,--,--,--,--,--,--
2017,常州江盛石油化工储运有限公司,--,--,--,--,--,--,--,--,--,--,--
2019,上饶银行股份有限公司,326800,11854700,10810100,42000,325500,1044600,83600,76500,850400,11198300,2200
2018,上饶银行股份有限公司,298000,10541900,9885600,34200,297100,656200,82900,69300,608500,10090400,2100
2017,上饶银行股份有限公司,255900,9638900,9078000,31100,255000,560900,77400,64600,536000,8933800,1800
2019,汕头市华润达塑胶实业有限公司,110800,3000,2100,100,110800,800,100,100,700,5300,--
